ID,Title,Severity,Category,File,Lines,Component,Status,Fixed,Impact_User,Impact_System,Impact_Business,Fix_Description
BUG-NEW-001,Memory Leak in ValidationRules.debounced,CRITICAL,Memory Leak,src/forms/index.js,497-512,Form Validation System,FIXED,TRUE,Memory leaks in forms with debounced validators,Timeouts accumulate in long-running applications,Performance degradation in production apps,Form.dispose() now cleans up all fields including their validators
BUG-NEW-002,Form Class Missing dispose() Method,CRITICAL,Resource Cleanup,src/forms/index.js,168-319,Form System,FIXED,TRUE,Forms cannot be properly cleaned up,Memory leaks from signals/computed values/fields,SPA applications with dynamic forms will leak memory,Added comprehensive dispose() method to Form class
BUG-NEW-003,useSignal and useComputed Create Effects Without Cleanup,CRITICAL,Memory Leak,src/core/hooks.js,49-97,Hooks System,FIXED,TRUE,Memory leaks in components using useSignal/useComputed,Each effect creates observers that persist after unmount,Long-running SPAs will accumulate memory,Modified to track effects in component.effects array for cleanup
BUG-NEW-004,Debug Code Left in Production,HIGH,Code Quality,src/core/hooks.js,99-110,Hooks System,FIXED,TRUE,Performance impact from unnecessary logging,Console pollution in production,Unprofessional/potential info leakage,Removed debug logging code from useEffect
BUG-NEW-005,Missing node-html-parser Dependency,HIGH,Dependency Error,src/template/enhanced-parser.js,59,Template Parser,PENDING,FALSE,SSR environments will crash,Runtime error in Node.js environments,SSR functionality broken,Need to add dependency or handle gracefully
BUG-NEW-006,HistoryManager Missing dispose() Method,HIGH,Resource Cleanup,src/router/history.js,1-128,Router History,FIXED,TRUE,Memory leaks when destroying router instances,Event listeners accumulate,SPA navigation issues over time,Added dispose() with event listener cleanup
BUG-NEW-007,Store Missing dispose() Method,HIGH,Resource Cleanup,src/store/index.js,1-336,Store System,FIXED,TRUE,Cannot properly clean up stores,Memory leaks from signals/computed/effects,Module system will leak,Added comprehensive dispose() method
BUG-NEW-008,JSX Style Object Numeric Value Handling,HIGH,Functional Bug,src/jsx-runtime.js,36-45,JSX Runtime,FIXED,TRUE,Inline styles don't render correctly,React compatibility broken,Migration from React breaks styling,Added unitlessProperties set and px appending logic
BUG-NEW-009,process.env.NODE_ENV Unsafe Access,MEDIUM,Runtime Safety,src/core/error-boundary.js,"122, 326, 433",Error Boundary,PENDING,FALSE,Potential runtime errors,Code may fail in some configurations,Minor - most bundlers handle this,Should check for process existence
BUG-NEW-010,Debug Comments Left in Production Code,MEDIUM,Code Quality,src/template/enhanced-parser.js,"43, 207",Template Parser,PENDING,FALSE,None,Code cleanliness,Professional code quality,Remove commented debug code
BUG-NEW-011,RouteGuard Missing Cleanup for Error Handlers,MEDIUM,Memory Leak (Minor),src/router/guards.js,82-98,Router Guards,PENDING,FALSE,Minor memory accumulation,Error handlers accumulate,API consistency,Return cleanup function from onError()
BUG-NEW-012,Portal createTooltip Anchor Reference Retention,MEDIUM,Memory Leak (Minor),src/core/portal.js,345-457,Portal System,PENDING,FALSE,Minor memory retention,Anchor elements not garbage collected,Memory management,Null out anchor reference in dispose()
BUG-NEW-013,Enhanced Parser SSR Environment Detection,MEDIUM,Runtime Robustness,src/template/enhanced-parser.js,46-62,Template Parser,PENDING,FALSE,SSR may fail in non-standard environments,Fallback chain not robust,Edge case handling,Add try-catch and better error handling
BUG-NEW-014,console.log in Navigation Guard Example,LOW,Code Quality,src/router/guards.js,144,Router Guards,PENDING,FALSE,None,Console logs in library code,Documentation clarity,Document as example or make conditional
BUG-NEW-015,Store.watch Deep Clone Performance,LOW,Performance,src/store/index.js,176,Store System,PENDING,FALSE,Minor performance impact,Inefficient deep cloning,Performance opportunity,Use structuredClone when available
